player,team,status,severity,expected_return,source_index,source_title,confidence,source_link,recorded_at
Nico Paz,Argentina,DOUBT,moderate,,14,Nico Paz Provides Fresh World Cup Injury Update Amid Concerning Claims - Yahoo Sports,0.72,https://news.google.com/rss/articles/CBMihAFBVV95cUxNajJLc0w4YWticWhMTDhMbWFjMWxnZW9rbDE4b01BNHREbG9VTmdDVVZtY0R3ejV1akc3MTlVUEVNMWpXZEUtZnQ3eTdQWUtZWUhSVWNaM2dDaHdlYzA0WlhkTm5CUUlWOVQ0ZDZ6cnhKWDlNRDg5RG1rc1NyWHl1Wmd6UHg?oc=5,2026-06-10T20:49:57.173413
Cho Gue-sung,South Korea,OUT,serious,,40,South Korea defender Cho ruled out of World Cup - Reuters,0.93,https://news.google.com/rss/articles/CBMimgFBVV95cUxNMVltaC0yOXlOQ2tyQUJrYkN4T2VBcng1bVBib2g2Y1FpMnhIQjd0UnhObUpMSHZmU3pwWWhuYlpBblRnTXBib3VuV0UtVXZVTjlFbElhWEZpUEVBeU9Kb0w1YzhoTWdaRWpDY2hhY0djSXBMYmw0UjY3bDVzaXpnMUhqWmhfMnVaaVVuckZ1NUVKNElsQk9FWVJR?oc=5,2026-06-10T20:49:57.173413
Florian Karl,Germany,OUT,moderate,,24,Germany's Karl ruled out of World Cup with muscle tear - Reuters,0.95,https://news.google.com/rss/articles/CBMiogFBVV95cUxOeUhTX3dGLXk2VWdHRkJ0NmJlTjgtaHdsSnN1ZUZoa3VPellCVXhLTGp1dnhxX3BCcERjR1Nzc0kyamExSGRhU3JuMHN4MjlIYUhoMERKd2poZjRhb3VPNEdlc1dzTWZDN0owS0szNnZnWHczU2dxaDhKRlA5c1ktc04zZGM5NHI1alFEZVBKSTJMWFBtdlZvSW1YSXpmbnNNU0E?oc=5,2026-06-10T20:49:57.173413
Julio Enciso,Paraguay,DOUBT,moderate,,10,World Cup 2026: Paraguay attacker Julio Enciso injured in warm-up friendly - BBC,0.9,https://news.google.com/rss/articles/CBMiZ0FVX3lxTE56YU1UZEZnYmhPN1FkbG1hQUx5cjFKeWJkVndXN0NRc0k5SWNTR0t3ay0yQ294UUJGdk1ZeFpxNVJwODA2V3R5NWRXSnpHXzR0NlZ3dUx3c1pOQUNtUmhvSVFLRVJQN1E?oc=5,2026-06-10T21:07:02.626672
Ez Abde,Morocco,DOUBT,moderate,,4,Ez Abde remains with Morocco squad for World Cup amid knee injury concerns - Crypto Briefing,0.88,https://news.google.com/rss/articles/CBMibEFVX3lxTE1zeWhvdVFZUVlDRVZqdHB3ZjVQZDlieC1vZzVoLXJIWnBGZTlBRzJhSElCeTY4T0Y2RVZlVndrQnBBRTdCVm5jOVlfdlVkTkhJVkFkMXBKTml5Y0Q0cHd0YUk3bFBVY2xQV0JGSg?oc=5,2026-06-10T21:07:02.626672
Ibrahim Sabra,Jordan,OUT,serious,,19,[Sportstar] Jordan at FIFA World Cup 2026 — Ibrahim Sabra ruled out of tournament with injury - Sportstar,0.95,https://news.google.com/rss/articles/CBMi5AFBVV95cUxPUWNWeTcxQ19fVDdZcTdiMDFYcGQzUUhMWGJWNXdVamJWTDRnbEpQdlNKODkxSEc3WFJBNnQzclRaN3A5TWFiYmxVekF1YWt3SHF1N2EtMmdGSU1TclpmVGp0M296WVQxUk9wZzMxNE1aQXpWeVF1NzR4eEh0OEF3SGVzOHotbmJkbEduU1VPX2dCRzBLWWFRR21WMnlqR0dOYVdpVjJiWHV5WUxySHhDWDRMVDV2SlMzT1pHQlJwOVZ2cndUc0R6NURDQ2RTS3ctVVViNkFmM0dxRXJQRVVELXNwN3PSAesBQVVfeXFMTjFmZjJJYmNNME42QlNhb0JOTzllQkRPNTRCbkRzcnM3WTVyaXhBX0w3QU1kV1VfeHJrbVVaUGdabXhiWFdrNC05TmV5Z3ZBSkFOMG9PYk9WUFM1QTlDZkNYMjVFQ2tBU3pvMl9ybktRU2FfWkFtY0t2MC1MOFZESG1SYkUwZTVxN2UzTE5hQmgtdGtFSVJxekxpNGY4aVE4dDBhOUxtdF9FNUxWZ0ZlNkRoanV5OWRvYmxkMDBoNHVTSEhZTHRjR0tyYjZIZWR5U2d3RzZSQzBPaUdFazZ2eUlzMEc1QjFPN0FEWQ?oc=5,2026-06-10T21:07:02.626672
Ben White,England,OUT,serious,,2,Arsenal's Ben White ruled out for rest of season and set to miss World Cup - RTE.ie,0.92,https://news.google.com/rss/articles/CBMiqwFBVV95cUxQZU5YNWRhb3dXdllTMm1pZzlQUU44cHZuYU5OTU1zX0JRV3ZoYmx4d3dtcF80Q2RJUHpFQmVFUms3cWhDV3JUc3hna09MdXh3Q2hNRkYzVVYxcVRqanBMRG5XRFRPNHdhXzdSckUzcnA2ckc0bjdJZkpUMVFPUGJXQ2Q3cUc5R1pjbGc2M3dlbXlQVlhEZ3hFSjV3TUdUXzhsWWhrZEVDckR5R3M?oc=5,2026-06-10T21:07:02.626672
Estevao,Brazil,OUT,serious,,24,Estevao Shares Injury Update After Being Forced to Miss 2026 World Cup - Sports Illustrated,0.88,https://news.google.com/rss/articles/CBMimAFBVV95cUxQOWtlbmMyUkxzVXZBQnA3ckZXeVZQSldzd2NWYjl4el9wRU9GamJqSFNTYW1wblkycFNUcGhvRnRnSVV6UXVEdlZMQjhnMmZETXFQN2RSLXRUbnFKWldaRHlWek9JMy1ub3ljNTMxT3hMeHZ3blRyQ0ZRd1BIeDRqUDlXNS1xdUJMRGNPU3N5UGNiaEM4SFI1OA?oc=5,2026-06-10T21:07:02.626672
Ismaël Koné,Canada,DOUBT,minor,,37,"[TSN] Davies remains in return to play protocol, Kone absent as Bombito watch continues at Canada training - TSN",0.82,https://news.google.com/rss/articles/CBMi4wFBVV95cUxOcXU0b0N1TXR0c0ptVUlCcHVQdldzaVNBTm5ESlNPbWdEZUxIQmpVOHM4U21NbnNMWkdJY2RtbkRJeDRVSUwzTGZxUjlOVWx1c1JvdjdJc2Rsb1BCVlBuYVowa1JEbDB6dlM4V0I4Q3dPVUpYZDQyUVdLZzZFMHdhd0xsUkZGVWhJNExDWkl4cWRzOGdGVk1BUDdVM0cwRVVwQzhZYnh6Y0pteDRMMzFrQy1mMkt1OWlTRThrWFlQSDVlbWxmVFJmWG85MzlQaU02M2d5NUdtTFgtTWRHdjFaN0Zzcw?oc=5,2026-06-10T21:07:02.626672
Cristiano Ronaldo,Portugal,DOUBT,serious,,14,[beIN SPORTS] Cristiano Ronaldo's Injury More Serious Than Expected as Concerns Grow Months Before the 2026 World Cup - beIN SPORTS,0.72,https://news.google.com/rss/articles/CBMikAJBVV95cUxOMi1mdGJidjZySGRjZ2xqZTEydUFfQ21VbVdqVUpBNXJzRXRnWlZVMEllTlhhVWhQYmh0VXVwcTBkc2JRam1Vb0NfMlF0RDZBTHJqN3BfM3ZmZnhQbUw0UlM0UDh2N1k5dkVzR09aUWlmTDJQWEVpUGtrWDRDTkUtX3pTNFduN3czRjkzUmZxNVFMazR3SEN2aURXNGw0ZUFEalFaUFlhc256d3FhejdOMUpVT19Mbi11WlBaQm1TanNIajF0X2huNkg2bkZ1dlBGOEYwVzVxVjRySFQxbS1JcDNTZEZiWlJWN3BUc3JXRVVJUHRCc3ZVU2ltclVfaHB1VkRLWXRfazRsTFpvUWFJWg?oc=5,2026-06-10T21:07:02.626672
