match_no,date,home,away,home_odds,draw_odds,away_odds,implied_home,implied_draw,implied_away,overround
1,2026-06-11,Mexico,South Africa,1.43,4.4,7.75,0.6625,0.2153,0.1222,1.0556
2,2026-06-12,South Korea,Czech Republic,2.55,3.1,2.95,0.3722,0.3061,0.3217,1.0537
3,2026-06-12,Canada,Bosnia and Herzegovina,1.82,3.4,4.6,0.5179,0.2772,0.2049,1.061
4,2026-06-13,United States,Paraguay,2.0,3.25,3.9,0.4699,0.2892,0.241,1.0641
5,2026-06-13,Qatar,Switzerland,14.5,7.5,1.19,0.0661,0.1279,0.806,1.0426
6,2026-06-13,Brazil,Morocco,1.66,3.75,5.25,0.5686,0.2517,0.1798,1.0596
7,2026-06-14,Haiti,Scotland,4.75,4.33,1.63,0.1996,0.2189,0.5815,1.055
8,2026-06-14,Australia,Turkey,5.25,3.7,1.7,0.1816,0.2577,0.5608,1.049
9,2026-06-14,Germany,Curacao,1.05,17.0,51.0,0.9239,0.0571,0.019,1.0308
10,2026-06-14,Netherlands,Japan,2.0,3.5,3.7,0.4735,0.2706,0.2559,1.056
11,2026-06-14,Ivory Coast,Ecuador,3.25,2.9,2.45,0.2901,0.3251,0.3848,1.0607
12,2026-06-15,Sweden,Tunisia,1.87,3.4,4.5,0.5088,0.2798,0.2114,1.0511
13,2026-06-15,Spain,Cabo Verde,1.1,10.5,23.0,0.8676,0.0909,0.0415,1.0478
14,2026-06-15,Belgium,Egypt,1.53,4.2,6.0,0.6176,0.225,0.1575,1.0584
15,2026-06-15,Saudi Arabia,Uruguay,7.0,4.1,1.49,0.135,0.2306,0.6344,1.0579
16,2026-06-16,Iran,New Zealand,1.8,3.4,4.8,0.5251,0.278,0.1969,1.058
17,2026-06-16,France,Senegal,1.51,4.5,5.75,0.6257,0.21,0.1643,1.0584
18,2026-06-16,Iraq,Norway,13.0,6.75,1.21,0.0732,0.1409,0.786,1.0515
19,2026-06-17,Argentina,Algeria,1.55,4.2,5.75,0.6103,0.2252,0.1645,1.0572
20,2026-06-17,Austria,Jordan,1.39,4.8,7.75,0.6808,0.1971,0.1221,1.0568
