referee,home_win_bias,card_rate,pen_rate
Szymon Marciniak,0.02,4.6,0.28
Daniele Orsato,0.04,5.1,0.33
Anthony Taylor,0.01,4.9,0.31
Michael Oliver,-0.01,4.3,0.24
Felix Zwayer,0.02,5.0,0.3
Slavko Vincic,0.03,4.8,0.29
Clement Turpin,0.01,4.4,0.27
Danny Makkelie,0.0,4.2,0.25
Stephanie Frappart,-0.02,4.1,0.23
Wilton Sampaio,0.02,5.2,0.34
Cesar Ramos,0.04,5.5,0.32
Ivan Barton,0.02,4.7,0.3
Mustapha Ghorbal,0.01,5.0,0.31
Maguette Ndiaye,0.01,4.8,0.29
Facundo Tello,0.05,5.4,0.35
Raphael Claus,0.03,5.0,0.32
Ko Hyung-jin,0.0,4.5,0.27
Mohammed Al-Hoaish,0.01,4.7,0.28
Hiroyuki Kimura,-0.01,4.0,0.22
Said Martinez,0.03,5.1,0.31
