match_no,id_match,id_stage,id_group,date_utc,stage,group_label,match_number_official,home,away,home_id,away_id,home_country,away_country,stadium_id,stadium_name,referee,referee_country
1,400021443,289273,289275,2026-06-11T19:00:00+00:00,group,A,1,Mexico,South Africa,43911,43883,MEX,RSA,400222084,Mexico City Stadium,Wilton SAMPAIO,BRA
2,400021441,289273,289275,2026-06-12T02:00:00+00:00,group,A,2,South Korea,Czech Republic,43822,43995,KOR,CZE,400252150,Guadalajara Stadium,Amin MOHAMED,EGY
3,400021449,289273,289276,2026-06-12T19:00:00+00:00,group,B,3,Canada,Bosnia and Herzegovina,43899,44037,CAN,BIH,400242032,Toronto Stadium,Facundo TELLO,ARG
4,400021458,289273,289278,2026-06-13T01:00:00+00:00,group,D,4,United States,Paraguay,43921,43928,USA,PAR,400017978,Los Angeles Stadium,Danny MAKKELIE,NED
5,400021447,289273,289276,2026-06-13T19:00:00+00:00,group,B,8,Qatar,Switzerland,43834,43971,QAT,SUI,400257521,San Francisco Bay Area Stadium,Said MARTINEZ,HON
6,400021456,289273,289277,2026-06-13T22:00:00+00:00,group,C,7,Brazil,Morocco,43924,43872,BRA,MAR,400257536,New York/New Jersey Stadium,Slavko VINCIC,SVN
7,400021453,289273,289277,2026-06-14T01:00:00+00:00,group,C,5,Haiti,Scotland,43908,43967,HAI,SCO,400248623,Boston Stadium,Mustapha GHORBAL,ALG
8,400021463,289273,289278,2026-06-14T04:00:00+00:00,group,D,6,Australia,Turkey,43976,43972,AUS,TUR,400248370,BC Place Vancouver,Jesus VALENZUELA,VEN
9,400021464,289273,289279,2026-06-14T17:00:00+00:00,group,E,10,Germany,Curacao,43948,1895293,GER,CUW,400249385,Houston Stadium,Jalal JAYED,MAR
10,400021470,289273,289280,2026-06-14T20:00:00+00:00,group,F,11,Netherlands,Japan,43960,43819,NED,JPN,400257526,Dallas Stadium,Ismail ELFATH,USA
11,400021467,289273,289279,2026-06-14T23:00:00+00:00,group,E,9,Ivory Coast,Ecuador,43854,43927,CIV,ECU,400248622,Philadelphia Stadium,Francois LETEXIER,FRA
12,400021474,289273,289280,2026-06-15T02:00:00+00:00,group,F,12,Sweden,Tunisia,43970,43888,SWE,TUN,400238450,Monterrey Stadium,Yael FALCON PEREZ,ARG
13,400021482,289273,289282,2026-06-15T16:00:00+00:00,group,H,14,Spain,Cabo Verde,43969,43850,ESP,CPV,400098290,Atlanta Stadium,Adham MAKHADMEH,JOR
14,400021478,289273,289281,2026-06-15T19:00:00+00:00,group,G,16,Belgium,Egypt,43935,43855,BEL,EGY,400216606,Seattle Stadium,Ramon ABATTI,BRA
15,400021486,289273,289282,2026-06-15T22:00:00+00:00,group,H,13,Saudi Arabia,Uruguay,43835,43930,KSA,URU,400257525,Miami Stadium,Maurizio MARIANI,ITA
